id,name,abbrev,division,level,color,logo_url
bdybs-gold-cederna,BDYBS Gold - Cederna,Cederna,U10,D3,#b5791a,/windmill/teams/bdybs-gold-cederna.png
bdybs-gold-devitt,BDYBS Gold - Devitt,Devitt,U12,D3,#0f5a4d,/windmill/teams/bdybs-gold-devitt.png
bdybs-juniors-gold-pogorelec,BDYBS Juniors Gold - Pogorelec,Pogorelec,U14,D3,#e8a33d,/windmill/teams/bdybs-juniors-gold-pogorelec.png
farmington-flames-gates,Farmington Flames - Gates,Gates,U14,D4,#1f9d57,/windmill/teams/farmington-flames-gates.png
cambridge-klemp,Cambridge - Klemp,Klemp,U8 Mach,D4,#1b7d6c,/windmill/teams/cambridge-klemp.png
cambridge-becker,Cambridge - Becker,Becker,U8 Live,D3,#1f9d57,/windmill/teams/cambridge-becker.png
cambridge-blue-becker,Cambridge Blue - Becker,Becker,U10,D3,#0f5a4d,/windmill/teams/cambridge-blue-becker.png
cambridge-rehr,Cambridge - Rehr,Rehr,U12,D3,#0e3d34,/windmill/teams/cambridge-rehr.png
stoughton-thompson,Stoughton - Thompson,Thompson,U8 Mach,D4,#c58a1a,/windmill/teams/stoughton-thompson.png
farmington-flames,Farmington Flames,Farmington,U12,D4,#1b7d6c,/windmill/teams/farmington-flames.png
deerfield-halverson,Deerfield - Halverson,Halverson,U14,D3,#2b6f61,/windmill/teams/deerfield-halverson.png
cambridge-white-johnson,Cambridge White - Johnson,Johnson,U10,D3,#0e3d34,/windmill/teams/cambridge-white-johnson.png
